514191,514196
344757,344762
689075,689081
710513,710518
24553,24558
353649,353654
617656,617661
515082,515087
13659,13664
637054,637059
87448,87453
212939,212944
635442,635447
789845,789850
802201,802206
392880,392885
35431,35436
302358,302363
783793,783798
12530,12535
710777,710782
101564,101569
160254,160259
438338,438343
892235,892240
670372,670377
639290,639295
350388,350393
74118,74123
421852,421857
376287,376292
140679,140684
512365,512370
294985,294990
804550,804555
287339,287344
312482,312487
444696,444701
821935,821940
95002,95007
235958,235963
194895,194900
155102,155107
626745,626750
544904,544909
779163,779168
76407,76412
18722,18727
40014,40019
635394,635399
280164,280169
163940,163945
492706,492711
192446,192451
301837,301842
931432,931437
815218,815223
511925,511930
64276,64281
188315,188320
576961,576966
442814,442819
506016,506021
149345,149350
597035,597040
1149,1154
827005,827010
609028,609033
196319,196324
20009,20014
373648,373653
621034,621039
771096,771101
807648,807653
239003,239008
715746,715751
357419,357424
24752,24757
678309,678314
364490,364495
112909,112914
790613,790618
912212,912217
560846,560851
374030,374035
876446,876451
512260,512265
872020,872025
23862,23867
531069,531074
424217,424222
781758,781763
573786,573791
675259,675264
506678,506683
378838,378843
465611,465616
667243,667248
873548,873553
476587,476592
